"","date","air_temp_min","pressure_min","solar_min","dewpoint_min","humidity_min","wind_10m_min","wind_2m_min","wbgt_min","hi_min","air_temp_max","pressure_max","solar_max","dewpoint_max","humidity_max","wind_10m_max","wind_2m_max","wbgt_max","hi_max","air_temp_mean","pressure_mean","solar_mean","dewpoint_mean","humidity_mean","wind_10m_mean","wind_2m_mean","wbgt_mean","hi_mean","air_temp_var","pressure_var","solar_var","dewpoint_var","humidity_var","wind_10m_var","wind_2m_var","wbgt_var","hi_var"
"7",2005-05-12,61.5,1015.1,0,56.8,41.4,0.19,0.446726899383621,59.22,61.5,86.7,1020.9,895,71,89.1,2.81,2.39226518228341,89.36,87,73.0023148148148,1018.3875,286.740740740741,61.4638888888889,69.1768518518519,1.71527777777778,1.39641067059786,71.8029166666667,73.3712962962963,65.3281341515934,1.35049418604651,113564.30456503,9.81180620155038,214.872577950043,0.401216666666667,0.217018019466118,100.2754775,70.0728466838932
"8",2005-05-13,58.2,1018.8,0,52.5,62.9,1.62,1.09310461329629,57.07,58.2,73.2,1027.8,510,69.5,99.3,2.93,2.30155903857907,71.69,74.2,63.5361111111111,1024.04166666667,132.537037037037,58.35,84.1972222222222,2.29125,1.84569102301983,62.965462962963,63.5490740740741,14.1715271317829,3.39388372093025,24911.2637381568,26.8773023255814,169.287620155039,0.0744547093023256,0.0509121317544775,14.9695169939707,16.4009293712317
"9",2005-05-14,60.8,1011.3,0,53.7,53.4,1.55,0.882454245108987,57.97,60.6,79.7,1024.6,812,63.1,89.2,3.47,3.01093930184561,78.34,81,67.9407407407407,1018.96388888889,235.435185185185,58.6064814814815,73.1328703703704,2.34837962962963,1.78670112414277,65.8422222222222,68.0046296296296,51.2928440999139,12.5750620155039,71803.8004306632,10.0463763996555,120.206588931955,0.467280618001723,0.632425739197674,63.2527568992248,57.960443583118
"10",2005-05-15,64.1,1008.7,0,60.2,53,0.26,0.446726899383621,62.6,64.6,80.4,1014.3,794,68,97.3,3.31,2.74290316221543,78.97,81.5,70.0203703703704,1011.82777777778,216.87962962963,63.1587962962963,79.9703703703704,2.39148148148148,1.95848117096391,69.1812962962963,70.5425925925926,19.2490714900947,1.68117829457364,75735.5761412575,3.73787575366064,152.694001722653,0.497330818260121,0.301698001538029,29.5708559862188,19.8084099913867
"11",2005-05-16,55,1009.1,0,48.1,40.7,0.52,0.464595975358966,53.65,54.5,74.4,1017.5,974,67,99.6,2.82,2.40077858150861,77.43,73.7,65.2777777777778,1013.30138888889,282.166666666667,57,78.0486111111111,1.67212962962963,1.26073003568545,65.4624074074074,65.1699074074074,30.7803410852713,3.52283527131783,118306.474418605,29.4426976744186,479.206230620155,0.346147071490095,0.286749010511809,40.4205048751077,28.4154158053402
"12",2005-05-17,56.7,1012.9,0,51.5,46.6,1.05,0.85398797913773,55.36,56.7,74.1,1020.7,943,58.5,97.9,2.66,2.16240340320279,77,73.4,65.1601851851852,1016.83287037037,248.939814814815,55.1699074074074,72.1986111111111,1.75833333333333,1.30551835641544,63.7924537037037,64.7708333333333,32.4355236864772,2.54389125753662,94741.6661283376,2.91374138673557,269.988044573643,0.0880223255813953,0.129306923856514,43.6359609280792,30.3524011627907
"13",2005-05-18,54.9,1014.8,0,53.7,51.2,0.75,0.589136272673823,53.45,54.6,76.1,1021.6,880,61,96.4,2.11,1.73330036960845,77.35,75.8,66.1625,1018.13796296296,265.824074074074,55.9949074074074,71.5717592592593,1.56666666666667,1.20094018845533,65.2832407407407,65.8412037037037,50.9845872093023,2.24162187769165,91363.7270456503,2.32243906115418,222.713849913867,0.11274976744186,0.0737298064926601,70.3569708440999,51.4110850559862
"14",2005-05-19,59.8,1012.4,0,50.5,52.7,0.59,0.463453867836741,55.65,59.1,78.4,1019.8,857,66,84.3,2.71,2.42125979465923,77.15,78.4,67.962037037037,1016.61851851852,213.625,57.3,69.2703703703704,1.95310185185185,1.5127993630832,65.5959259259259,67.7111111111111,33.1444125753661,3.26319035314383,69472.198255814,13.4462325581395,61.9118621877692,0.157116380275624,0.1910961663805,50.2145200689061,36.742480620155
"15",2005-05-20,59.5,1005.8,0,56.5,67.7,1.23,0.96618348718507,59.02,59.5,72,1015.4,417,67.4,95.9,5.33,4.20561921725268,73.83,72.4,66.8319444444444,1010.28194444444,103.597222222222,62.1972222222222,85.4222222222222,3.31939814814815,2.66172722241683,65.6732407407407,67.2300925925926,5.77343992248062,7.50874224806202,14826.678875969,9.35636434108527,62.2496434108527,0.821142426787252,0.593869829427707,13.3707187510767,6.55495068906115
"16",2005-05-21,49.8,1008.3,0,43.4,37.7,0.85,0.759435728952156,47.86,48.6,70.4,1016.6,1003,57.4,94.1,3.56,2.82331400410449,68.82,69,59.0421296296296,1013.0537037037,336.435185185185,48.1138888888889,70.787037037037,2.82449074074074,2.33655227947247,57.9576388888889,57.9722222222222,54.6941703273041,2.79059086993972,149497.986477175,10.270503875969,440.931924203273,0.284730902239449,0.16213050904969,55.8708227713178,52.0339224806202
